cif_filename,formula,space_group,n_atoms,n_Co,n_Bi
Co4_Bi6_m2_n3_z2_sg003_trial000_89863d25c7.cif,Co4Bi6,3,10,4,6
Co4_Bi6_m2_n3_z2_sg008_trial000_685aaa880f.cif,Co4Bi6,8,10,4,6
Co4_Bi6_m2_n3_z2_sg010_trial000_31e868f4e5.cif,Co4Bi6,10,10,4,6
Co4_Bi6_m2_n3_z2_sg007_trial000_89fbc64bbb.cif,Co4Bi6,7,10,4,6
Co4_Bi6_m2_n3_z2_sg011_trial000_64f043803b.cif,Co4Bi6,11,10,4,6
Co4_Bi6_m2_n3_z2_sg012_trial000_4a037a4292.cif,Co4Bi6,12,10,4,6
Co4_Bi6_m2_n3_z2_sg014_trial000_556a76f7af.cif,Co4Bi6,14,10,4,6
Co4_Bi6_m2_n3_z2_sg017_trial000_6b856a2b2e.cif,Co4Bi6,17,10,4,6
Co4_Bi6_m2_n3_z2_sg018_trial000_6eb6795209.cif,Co4Bi6,18,10,4,6
Co4_Bi6_m2_n3_z2_sg026_trial000_611750f7db.cif,Co4Bi6,26,10,4,6
Co4_Bi6_m2_n3_z2_sg027_trial000_862f2639ff.cif,Co4Bi6,27,10,4,6
Co4_Bi6_m2_n3_z2_sg030_trial000_efdce8fd66.cif,Co4Bi6,30,10,4,6
Co4_Bi6_m2_n3_z2_sg032_trial000_d41dbe79f6.cif,Co4Bi6,32,10,4,6
Co4_Bi6_m2_n3_z2_sg031_trial000_e6ace6cd94.cif,Co4Bi6,31,10,4,6
Co4_Bi6_m2_n3_z2_sg044_trial000_1525d0d49f.cif,Co4Bi6,44,10,4,6
Co4_Bi6_m2_n3_z2_sg025_trial000_1abaf5164e.cif,Co4Bi6,25,10,4,6
Co4_Bi6_m2_n3_z2_sg059_trial000_7dfaa340fe.cif,Co4Bi6,59,10,4,6
Co4_Bi6_m2_n3_z2_sg058_trial000_b72ae6eac7.cif,Co4Bi6,58,10,4,6
Co4_Bi6_m2_n3_z2_sg071_trial000_ae5a1c57a6.cif,Co4Bi6,71,10,4,6
Co4_Bi6_m2_n3_z2_sg075_trial000_155fe8bfc1.cif,Co4Bi6,75,10,4,6
Co4_Bi6_m2_n3_z2_sg081_trial000_9f57caa2d0.cif,Co4Bi6,81,10,4,6
Co4_Bi6_m2_n3_z2_sg084_trial000_1a68c620f6.cif,Co4Bi6,84,10,4,6
Co4_Bi6_m2_n3_z2_sg089_trial000_f96804afcf.cif,Co4Bi6,89,10,4,6
Co4_Bi6_m2_n3_z2_sg093_trial000_9660294648.cif,Co4Bi6,93,10,4,6
Co4_Bi6_m2_n3_z2_sg097_trial000_351185cf79.cif,Co4Bi6,97,10,4,6
Co4_Bi6_m2_n3_z2_sg099_trial000_833c2d57ce.cif,Co4Bi6,99,10,4,6
Co4_Bi6_m2_n3_z2_sg050_trial000_da7784d14c.cif,Co4Bi6,50,10,4,6
Co4_Bi6_m2_n3_z2_sg102_trial000_fb53b10677.cif,Co4Bi6,102,10,4,6
Co4_Bi6_m2_n3_z2_sg104_trial000_15fc75b733.cif,Co4Bi6,104,10,4,6
Co4_Bi6_m2_n3_z2_sg111_trial000_3f23af8444.cif,Co4Bi6,111,10,4,6
Co4_Bi6_m2_n3_z2_sg079_trial000_ad475b141e.cif,Co4Bi6,79,10,4,6
Co4_Bi6_m2_n3_z2_sg118_trial000_f19cd9e22e.cif,Co4Bi6,118,10,4,6
Co4_Bi6_m2_n3_z2_sg121_trial000_22f5bc01ee.cif,Co4Bi6,121,10,4,6
Co4_Bi6_m2_n3_z2_sg129_trial000_b58cd7ead4.cif,Co4Bi6,129,10,4,6
Co4_Bi6_m2_n3_z2_sg134_trial000_b2022749c2.cif,Co4Bi6,134,10,4,6
Co4_Bi6_m2_n3_z2_sg137_trial000_97a966a40f.cif,Co4Bi6,137,10,4,6
Co4_Bi6_m2_n3_z2_sg136_trial000_44a7fc5f71.cif,Co4Bi6,136,10,4,6
Co4_Bi6_m2_n3_z2_sg139_trial000_f06ce71c68.cif,Co4Bi6,139,10,4,6
Co4_Bi6_m2_n3_z2_sg143_trial000_a588da9bc3.cif,Co4Bi6,143,10,4,6
Co4_Bi6_m2_n3_z2_sg149_trial000_2dbca15d64.cif,Co4Bi6,149,10,4,6
Co4_Bi6_m2_n3_z2_sg158_trial000_9e1a1f9849.cif,Co4Bi6,158,10,4,6
Co4_Bi6_m2_n3_z2_sg157_trial000_999dd27e83.cif,Co4Bi6,157,10,4,6
Co4_Bi6_m2_n3_z2_sg147_trial000_5e51bcf8b7.cif,Co4Bi6,147,10,4,6
Co4_Bi6_m2_n3_z2_sg159_trial000_75c998c935.cif,Co4Bi6,159,10,4,6
Co4_Bi6_m2_n3_z2_sg162_trial000_2c68781c0f.cif,Co4Bi6,162,10,4,6
Co4_Bi6_m2_n3_z2_sg168_trial000_c2f4a6f0a0.cif,Co4Bi6,168,10,4,6
Co4_Bi6_m2_n3_z2_sg175_trial000_d4d57e1952.cif,Co4Bi6,175,10,4,6
Co4_Bi6_m2_n3_z2_sg164_trial000_4673cadb21.cif,Co4Bi6,164,10,4,6
Co4_Bi6_m2_n3_z2_sg156_trial000_2fa989f7d8.cif,Co4Bi6,156,10,4,6
Co4_Bi6_m2_n3_z2_sg182_trial000_a9b77c059e.cif,Co4Bi6,182,10,4,6
Co4_Bi6_m2_n3_z2_sg185_trial000_f2c136294d.cif,Co4Bi6,185,10,4,6
Co4_Bi6_m2_n3_z2_sg186_trial000_64f6efdacc.cif,Co4Bi6,186,10,4,6
Co4_Bi6_m2_n3_z2_sg189_trial000_0bfb9703ee.cif,Co4Bi6,189,10,4,6
Co4_Bi6_m2_n3_z2_sg190_trial000_9c1e72199f.cif,Co4Bi6,190,10,4,6
Co4_Bi6_m2_n3_z2_sg188_trial000_c9569dc0e4.cif,Co4Bi6,188,10,4,6
Co4_Bi6_m2_n3_z2_sg200_trial000_56d90bf1d2.cif,Co4Bi6,200,10,4,6
Co4_Bi6_m2_n3_z2_sg201_trial000_1d9ac7f71f.cif,Co4Bi6,201,10,4,6
Co4_Bi6_m2_n3_z2_sg191_trial000_f8d963acea.cif,Co4Bi6,191,10,4,6
Co4_Bi6_m2_n3_z2_sg195_trial000_f9b6cffcf6.cif,Co4Bi6,195,10,4,6
Co4_Bi6_m2_n3_z2_sg207_trial000_70cd2ed855.cif,Co4Bi6,207,10,4,6
Co4_Bi6_m2_n3_z2_sg208_trial000_c5abeec4e8.cif,Co4Bi6,208,10,4,6
Co4_Bi6_m2_n3_z2_sg215_trial000_7fef423aed.cif,Co4Bi6,215,10,4,6
Co4_Bi6_m2_n3_z2_sg193_trial000_e567726072.cif,Co4Bi6,193,10,4,6
Co4_Bi6_m2_n3_z2_sg224_trial000_c32fe58bd2.cif,Co4Bi6,224,10,4,6
Co6_Bi9_m2_n3_z3_sg001_trial000_46ca971bc5.cif,Co6Bi9,1,15,6,9
Co4_Bi6_m2_n3_z2_sg187_trial000_458c2396ef.cif,Co4Bi6,187,10,4,6
Co6_Bi9_m2_n3_z3_sg003_trial000_3200bcec91.cif,Co6Bi9,3,15,6,9
Co6_Bi9_m2_n3_z3_sg025_trial000_f71c8db408.cif,Co6Bi9,25,15,6,9
Co6_Bi9_m2_n3_z3_sg075_trial000_32c4d21acc.cif,Co6Bi9,75,15,6,9
Co6_Bi9_m2_n3_z3_sg089_trial000_576f3adfb8.cif,Co6Bi9,89,15,6,9
Co6_Bi9_m2_n3_z3_sg146_trial000_a715b71015.cif,Co6Bi9,146,15,6,9
