chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Co,aflow:df7c33b751cbebc0,Bi6Co2,194,hP8,0.222807,-4.58225,,False
Bi-Co,aflow:dfd43debf2c8407f,Bi10Co6,193,hP16,0.438897,-4.75011,,False
Bi-Co,aflow:e09ca8b11de57e75,Bi1Co3,12,mS8,0.457389,-5.88347,,False
Bi-Co,aflow:e0e7dc144fa9dd3e,Bi4Co12,194,hP16,0.433204,-5.90766,,False
Bi-Co,aflow:e32402a682ca1623,Bi4Co2,58,oP6,0.110297,-4.95073,,False
Bi-Co,aflow:e405530c05b13724,Bi6Co4,43,oF40,0.266772,-4.99903,,False
Bi-Co,aflow:e45a19245caaef02,Bi2Co4,8,mS12,0.398714,-5.68618,,False
Bi-Co,aflow:e511202a7e513e57,Bi2Co2,227,cF16,0.916596,-4.65636,,False
Bi-Co,aflow:e55ad9372b26e920,Bi3Co1,139,tI8,0.584931,-4.22013,,False
Bi-Co,aflow:e694bf02f2c68512,Bi3Co3,8,mS12,0.390907,-5.18205,,False
Bi-Co,aflow:e700fc2340702bb4,Bi2Co1,139,tI6,0.190688,-4.87034,,False
Bi-Co,aflow:e7f1b88c744d4d58,Bi2Co2,194,hP4,0.590663,-4.9823,,False
Bi-Co,aflow:e82d850ca4d812a0,Bi6Co6,164,hP12,0.834175,-4.73878,,False
Bi-Co,aflow:e983a7237c84b118,Bi4Co2,12,mS12,0.0974158,-4.96361,,False
Bi-Co,aflow:e9ca24da05b7e92b,Bi4Co1,87,tI10,0.141472,-4.51001,,False
Bi-Co,aflow:e98e99b24e02847e,Bi5Co4,139,tI18,0.636422,-4.76589,,False
Bi-Co,aflow:e9a9e5a147364358,Bi4Co2,12,mS12,0.208204,-4.85282,,False
Bi-Co,aflow:ea353b2e4f0be2ba,Bi2Co4,63,oS12,0.310439,-5.77445,,False
Bi-Co,aflow:eae21457a21850a4,Bi1Co1,221,cP2,0.518775,-5.05419,,False
Bi-Co,aflow:eea45a0b6a6c0d35,Bi1Co5,123,tP6,0.337848,-6.25898,,False
Bi-Co,aflow:efd43ffa9fbc04db,Bi4Co8,62,oP12,0.488896,-5.596,,False
Bi-Co,aflow:f3165987b5166fd9,Bi2Co6,139,tI16,0.431718,-5.90914,,False
Bi-Co,aflow:f46f9828c3d7704b,Bi4Co2,63,oS12,0.478833,-4.58219,,False
Bi-Co,aflow:f572b569d7eb3082,Bi1Co3,166,hR4,0.678575,-5.66228,,False
Bi-Co,aflow:f830317a31d61594,Bi2Co2,129,tP4,0.260333,-5.31263,,False
Bi-Co,aflow:fc5ac7b239e053be,Bi8Co4,62,oP12,0.286405,-4.77462,,False
Bi-Co,aflow:fdf18e4d091ce68b,Bi1Co2,191,hP3,0.479254,-5.60564,,False
Bi-Fe,aflow:03f529c8d49343f4,Bi4Fe2,12,mS12,0.432499,-5.07728,,False
Bi-Fe,aflow:035522b6842838b8,Bi1Fe2,139,tI6,0.451946,-6.53045,,False
Bi-Fe,aflow:067cbf30573d5964,Bi1Fe2,164,hP3,0.544246,-6.43815,,False
Bi-Fe,aflow:06da52d2debe5534,Bi6Fe3,189,hP9,0.540073,-4.96971,,False
Bi-Fe,aflow:08bc48fb4bb67446,Bi1Fe3,221,cP4,0.416531,-6.93402,,False
Bi-Fe,aflow:098c7d5fed692e89,Bi2Fe2,51,oP4,0.358264,-5.88783,,False
Bi-Fe,aflow:0a1d48aea282e7dd,Bi1Fe2,225,cF12,0.866488,-6.11591,,False
Bi-Fe,aflow:0b2a08ee3352cea4,Bi1Fe3,12,mS8,0.410658,-6.9399,,False
Bi-Fe,aflow:0c986ac983729b16,Bi3Fe1,65,oS8,0.577743,-4.56388,,False
Bi-Fe,aflow:0de05402a16d2bd4,Bi2Fe4,63,oS12,0.238725,-6.74367,,False
Bi-Fe,aflow:103619eac92a95bc,Bi1Fe1,166,hR2,0.631019,-5.61507,,False
Bi-Fe,aflow:11a14923cdf0a9e1,Bi2Fe4,12,mS12,0.705186,-6.27721,,False
Bi-Fe,aflow:13b4aa7080eba48d,Bi1Fe5,189,hP6,0.355152,-7.36356,,False
