cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co6_Bi3_m2_n1_z3_sg195_trial000_0dd0567aa4.cif,Co6Bi3,195,9,6,3,2.790000,5.304617,4.151039,422.189116,46.909902,0.224978
Co8_Bi4_m2_n1_z4_sg008_trial000_4d3e11386b.cif,Co8Bi4,8,12,8,4,2.790000,3.359756,3.253524,626.203729,52.183644,0.202241
Co6_Bi3_m2_n1_z3_sg160_trial000_55cc50182b.cif,Co6Bi3,160,9,6,3,2.790000,4.778425,3.274864,321.57106,35.730118,0.295372
Co8_Bi4_m2_n1_z4_sg019_trial000_32fede5588.cif,Co8Bi4,19,12,8,4,2.885886,3.481860,2.790000,551.948894,45.995741,0.229449
Co6_Bi3_m2_n1_z3_sg215_trial000_90761e4e6d.cif,Co6Bi3,215,9,6,3,2.790000,4.729838,2.933613,299.284246,33.253805,0.317367
Co8_Bi4_m2_n1_z4_sg018_trial000_820018a20f.cif,Co8Bi4,18,12,8,4,2.911352,3.020927,2.790000,557.567321,46.463943,0.227137
Co8_Bi4_m2_n1_z4_sg022_trial000_13711cc833.cif,Co8Bi4,22,12,8,4,3.403367,4.876654,2.790000,423.930253,35.327521,0.298738
Co8_Bi4_m2_n1_z4_sg036_trial000_0a1fa1b454.cif,Co8Bi4,36,12,8,4,3.322717,4.677004,2.790000,455.493436,37.957786,0.278037
Co8_Bi4_m2_n1_z4_sg041_trial000_7c66b7bf46.cif,Co8Bi4,41,12,8,4,3.652627,5.348275,2.790000,483.574293,40.297858,0.261892
Co8_Bi4_m2_n1_z4_sg045_trial000_3789d4508c.cif,Co8Bi4,45,12,8,4,3.107242,3.858732,2.790000,372.723337,31.060278,0.33978
Co8_Bi4_m2_n1_z4_sg052_trial000_2ca2917b9a.cif,Co8Bi4,52,12,8,4,2.790000,3.968732,3.295829,395.98262,32.998552,0.319822
Co8_Bi4_m2_n1_z4_sg056_trial000_a72150058e.cif,Co8Bi4,56,12,8,4,3.141810,4.092783,2.790000,358.214122,29.851177,0.353543
Co8_Bi4_m2_n1_z4_sg062_trial000_495937c416.cif,Co8Bi4,62,12,8,4,3.302717,4.786772,2.790000,546.043348,45.503612,0.231931
Co8_Bi4_m2_n1_z4_sg068_trial000_9f160f1a7e.cif,Co8Bi4,68,12,8,4,2.790000,4.715349,2.999964,450.686616,37.557218,0.281003
Co8_Bi4_m2_n1_z4_sg058_trial000_31bba49f46.cif,Co8Bi4,58,12,8,4,2.790000,4.305793,3.124838,430.163027,35.846919,0.29441
